user_session,first_event_type,first_hour,first_dayofweek,first_price,brand_missing,category_missing,label
2666c4ce-8919-4587-be87-811ae3b058f8,view,3,1,724.86,0,1,0
0287036d-dfcf-40c5-b0f0-37c3b120e906,view,3,1,64.08,0,0,0
6baf2499-b254-4f4d-9d3b-9fe3af5b149f,view,2,1,241.19,0,0,0
d082e18b-7e56-4eda-a856-114af2914f48,view,4,1,115.47,0,1,0
31e50176-830e-4557-8296-1c9685c9f4e5,view,5,1,89.86,0,0,0
8f31e4f6-ebe1-4977-8477-17c29a9fc6ee,view,3,1,51.46,1,0,0
aedc960c-29a6-4f81-b833-f762552976c9,view,4,1,1415.48,0,0,0
1ac5d426-8668-4b88-b090-ea71a8667499,view,5,1,485.95,0,0,0
0e159f56-9859-42b8-88ad-fa06997349fa,view,5,1,43.76,0,0,0
81580cdd-9169-4d2d-961c-83888554d163,view,4,1,5.79,0,1,1
cc74910c-4ae4-4d9f-9487-7c6bc0bafaf7,view,3,1,123.3,0,1,0
e97467d4-d9f6-4a27-955a-ebebced79d7e,view,5,1,1312.47,0,0,0
cd148603-34cb-41cc-8f2e-0c0f2ae7f9e5,view,4,1,51.48,0,0,0
45a47280-934f-4e97-ad53-4405ca4bfa03,view,3,1,36.01,0,0,0
0dfe0678-3afb-493c-bdf6-6925591589d3,view,4,1,73.1,1,1,0
9a4135ff-19d5-4c61-b6eb-82f29847be52,view,4,1,257.15,0,0,0
1923f13f-b217-47e6-b0a1-3008ba714252,view,3,1,2344.69,0,0,0
4d8da5b2-490e-42ff-864f-05d9772814b8,view,4,1,41.96,0,1,0
87977fd0-018c-4fdf-b43b-d7ec1aebb295,view,5,1,975.57,0,0,0
b384547e-6edf-4827-8d20-94f5b58da3dc,view,5,1,99.13,0,0,0
3f16ce33-d29b-4fd0-a874-18ec9da85c17,view,4,1,2072.1,0,0,0
cc868062-6dca-4199-96b4-ac7de176a6f7,view,2,1,278.55,0,0,0
fe54c9ea-63e7-44b4-8179-54ffae6acf42,view,4,1,133.82,0,0,0
d97e3a9e-250d-4fe6-86aa-0a8e27a4e408,view,4,1,46.28,0,0,0
506dfe29-a1e7-4a09-8229-fd2ce998e1d8,view,5,1,614.55,0,0,0
da1b663b-5702-4b2e-ad17-93f6941fd918,view,5,1,146.72,0,0,0
e5d26fb0-8b96-43e5-84b4-b1b041ef18d9,view,2,1,102.47,0,0,0
0f768829-24fd-42f8-a3cc-cb10e324b8d0,view,5,1,470.77,0,0,0
6449abdc-6ce5-4f69-9a25-c124363b1236,view,5,1,377.14,0,0,0
52dac0d9-6537-47df-9205-4250bfaffe8a,view,5,1,9.27,1,1,0
5c92a8c3-2c08-48ce-b97d-ed0bf96f8590,view,3,1,398.5,1,1,0
ef6d52d3-e97d-4e95-81c0-8a7d1b24299d,view,0,1,253.36,0,0,0
afeae76a-c6ca-4a74-8c53-c30b4c81238b,view,6,1,256.36,0,0,0
b95e081f-8d41-4338-aacf-c15f91a0b12a,view,4,1,25.71,0,0,0
19ede034-3d0a-4389-bd00-6503ed80415e,view,5,1,726.89,0,1,0
92665191-6438-49ac-8e04-7617b05fea29,view,3,1,15.42,0,0,0
5fcb2185-bc2c-4a4d-b6cd-9a65a5212dd2,view,4,1,1012.19,0,0,0
5d877e7f-2f21-4885-8bb6-b0bf0ff50f8c,view,4,1,128.42,0,0,0
4da7ee2e-bfe9-4ec3-8add-0b0855ed4453,view,5,1,386.08,0,0,0
ae86139c-4099-4283-b7cf-2e85623b60d2,view,5,1,275.84,1,1,0
e1a60b56-2018-4d1a-aa2d-cc2a8eecde88,view,4,1,56.6,0,1,0
2fb5f4bb-e026-4a01-93d2-b01b63bac6e2,view,3,1,159.69,0,0,0
1e8b6457-1d73-463e-9698-776e783857f9,view,4,1,511.71,0,0,0
6899401f-02da-415d-9434-6701881b42a0,view,5,1,179.9,0,0,0
89c51c42-eeb9-4cfd-9d42-38c549a2e5fb,view,2,1,32.18,0,1,0
2535e86b-ee7f-46b5-ac08-e7fb62495156,view,2,1,48.62,0,0,0
f31f659b-92aa-42f3-afc5-15c1255b8ecf,view,4,1,507.86,0,0,0
92b99cad-0fae-4fed-b639-35b8342b5c4f,view,4,1,42.99,0,1,0
df322935-adfd-45ff-95e2-7ebee993fb07,view,3,1,161.93,0,0,0
d958769b-a5df-4eea-a109-c1c59d636620,view,4,1,347.5,0,0,0
cdfd6039-3a70-4c7f-b926-89fee2edb134,view,5,1,25.66,0,0,0
82749e32-7a3e-48b4-89bd-0beaaafd81c7,view,3,1,334.6,0,0,0
6594712b-ff8b-30cc-55aa-d771feccc133,view,2,1,192.77,0,0,0
96f4b77b-8239-44cf-bed5-a8efd9a58cf8,view,5,1,72.05,1,0,0
d9f0dfb6-0236-4dba-902b-3cbf629fae2f,view,2,1,8.55,0,1,0
f552029f-f59d-4cf8-a016-90b5c0c710de,view,4,1,1747.79,0,0,0
86a01ed3-1e98-471f-bbe8-a710028a2544,view,4,1,23.94,0,0,0
f492e8d4-3a62-4b33-a4d7-b119b7aadd31,view,5,1,28.17,1,1,0
7c39636d-32b8-48da-bea2-c88d876f9276,view,3,1,247.88,0,1,0
57f54e2b-6b53-4dee-b927-54d7ebe5a905,view,5,1,53.8,0,1,0
32f6a0bd-05fc-4c83-b3eb-2893df691d00,view,5,1,871.07,0,0,0
4fa16aa3-1868-495b-bec2-091021757b41,view,4,1,84.69,1,0,0
5ce8748a-2b2f-452a-8947-fd15776352c3,view,2,1,1027.05,0,0,0
81620411-b802-4eaa-88cc-dee25c7f07f2,view,2,1,25.48,1,0,0
9bee8ffd-5351-4414-9f95-c7c16fdf6153,view,5,1,1384.53,0,1,0
da217f66-2cbe-468c-8598-29331e98a2d0,view,2,1,32.69,1,1,0
d1b785df-1b81-49aa-984b-892945176e84,view,4,1,231.67,0,1,0
94bf3891-dd1d-4ad6-867c-38209f4e7115,view,5,1,20.07,0,0,0
9a9c2d22-43df-451b-aa61-77b5dcfed70d,view,3,1,308.86,0,0,0
ea0b8fae-e60b-4519-aa5d-5526d888e656,view,5,1,2072.1,0,0,0
444b3897-3ce5-4537-be80-55bb660961ae,view,5,1,197.52,0,0,0
3a425d4f-6230-4f5e-9be6-eeb60db05b98,view,5,1,130.76,0,0,0
e088c617-1536-4035-82d6-21fa66c882af,view,3,1,130.73,0,0,0
ab13311d-69af-4525-b79f-094b3dfab59b,view,2,1,16.96,0,1,0
33bbb4c2-1e1b-4d37-92d6-bf6c1444b1b3,view,5,1,975.57,0,0,0
807e0d5e-b2d0-49c2-a38c-2a355bef660e,view,2,1,145.43,1,1,0
c8901063-2e6e-4eed-b173-c8444af7c4b4,view,4,1,58.43,0,0,0
202748a9-2b11-4468-8963-bcab2ee16671,view,4,1,128.62,0,0,0
