user_session,first_event_type,first_hour,first_dayofweek,first_price,brand_missing,category_missing,label
75888884-e1cd-0ccb-12c3-726eaf00692e,view,3,1,1415.48,0,0,0
c67f30d7-99bd-4981-8aa0-b3bd7c358eb3,view,5,1,253.55,1,1,0
deea2feb-39df-48de-b52d-1109d8610c95,view,3,1,23.15,0,1,0
273d5b22-6f6b-4bcd-9df8-60838dfb2f24,view,2,1,125.58,0,0,0
1ae8d504-db78-469d-ab88-a2baf8d91910,view,3,1,203.35,0,0,0
bed2153c-927b-4e89-a965-ae422dac290a,view,4,1,189.71,1,1,0
917e2454-4c53-4544-b845-201d9d1a8fd1,view,3,1,48.14,0,1,0
27d3483e-64dc-44e3-8d50-f5bd1e4539f9,view,4,1,163.02,1,1,0
02447e0a-5f91-450a-9e05-e2e6a85fd5d2,view,5,1,1029.37,0,1,0
24f587d7-d692-4e63-897f-2b4a14b25fe5,view,3,1,221.88,0,0,0
aea61bd9-ba46-4ad8-8792-debc839e194d,view,4,1,39.64,1,1,0
61b50df2-9638-4a90-83b0-fef0b5681622,view,5,1,1853.3,0,1,0
a08476a6-6252-4d89-bcd8-aabceef98203,view,3,1,1145.33,0,0,0
0b02d260-db79-4369-8cfe-f6e6034f6fef,view,2,1,360.34,0,0,0
904e2a89-8144-44cd-a7da-f3732b7c1444,view,4,1,257.38,0,0,0
1009a153-538a-46a5-98f9-660e5da56f08,view,3,1,27.23,0,0,0
bed658b2-b1e9-4be7-941d-4b437d8e12ba,view,3,1,254.05,0,0,0
e4f070b0-ded6-46a0-af03-18dc997f0f69,view,4,1,46.33,0,0,0
6ef2f258-48c3-40cb-a88e-f152ab96c32f,view,5,1,432.42,0,0,0
7c31a619-20ae-4aa3-a7a1-54e18d208728,view,5,1,45.56,0,1,0
a282528d-e8eb-48b4-bf55-a4fb21718fbf,view,4,1,153.67,0,0,0
b69429b1-ea48-48eb-9479-67cf4c7b113a,view,4,1,453.27,0,0,0
f9e2e213-6a76-4741-843d-3369bcb6531b,view,4,1,121.24,0,0,0
b37e68a2-d173-4abc-aeec-ed9dcf9c16e5,view,5,1,21.09,0,1,0
9325991b-3471-44a2-a125-412bcd404118,view,3,1,228.47,1,0,0
00f03284-4be4-4cae-a462-42a4bb506740,view,5,1,29.51,0,1,0
2d9b8ca7-94e9-4a1d-994f-6ba957c5506a,view,5,1,54.06,0,1,0
2bca3850-c6ea-4ece-b274-b84108215a6b,view,4,1,46.33,0,0,0
b288e2e6-09d3-4755-8be9-7d1d1613eacc,view,5,1,738.61,0,0,0
df3840ec-77cc-4d31-95c6-db27ba517939,view,4,1,514.76,0,0,0
27c3aca0-9a99-4c4b-913a-4d921b7fde46,view,4,1,975.57,0,0,0
eacd4f08-32c0-486c-9b82-437dc7b089e2,view,3,1,154.15,0,1,0
280b4476-e185-41c4-a9e7-ab3c22b583c3,view,3,1,154.16,0,0,0
ba66ddd6-0826-4f28-96ba-a0147bbee605,view,2,1,154.42,0,0,0
9a69eb01-f6bb-4c54-9bdb-71b1dec172b6,view,4,1,321.73,1,1,0
74103cff-113a-4426-a7b3-ffff445dfbd1,view,3,1,465.7,0,0,0
3b27c3db-6159-4265-b8bb-938c0be7bee5,view,3,1,329.22,0,0,0
d487652a-44d5-4c6d-9ea6-08f88cbdcbde,view,3,1,197.52,0,0,0
64d6b576-cd02-4033-be22-4837a285e40c,view,4,1,48.91,0,1,0
7c2d34b1-0cef-48a5-bccf-dc69be779270,view,4,1,464.08,0,0,0
92c6ceaa-deb5-4de8-b8f4-cbe354c03f26,view,2,1,73.57,0,0,0
e80ca4dc-8a97-44e1-ab93-9dacc77a9ae0,view,4,1,45.04,0,0,0
5dbafcc9-17f4-4af7-a273-1af82697c999,view,4,1,218.15,1,0,0
75fd8a95-7fb2-4f13-a191-d09969cc7328,view,4,1,66.87,0,0,0
fa08831f-4210-403f-91fe-cec2824b2f24,view,4,1,37.32,0,0,0
fe1b2dc7-c90f-42fc-b03a-b5ec7d184519,view,5,1,90.35,1,0,0
3315e55f-d5b3-4b0b-8b8d-ee0957e2fa77,view,3,1,257.15,0,0,0
1d78bf72-0e87-436a-8fa8-6679e64ef74f,view,4,1,295.49,0,0,0
ad5ea24d-5e31-4be5-ae2f-00cb97edefa9,view,5,1,975.57,0,0,0
bd9fa676-25f2-46fc-bfd2-f2c0e79f7b03,view,5,1,975.57,0,0,0
